lastname,firstname,title,year,volume,ID,decade
Heyse,Paul,Unheilbar,1862,,Paul_Heyse_-_Unheilbar_(1862),1860
Mörike,Eduard,Aus dem Gebiete der Seelenkunde,1861,,Eduard_Mörike_-_Aus_dem_Gebiete_der_Seelenkunde_(1861),1860
Kompert,Leopold,Neue Geschichten aus dem Ghetto,1860,,Leopold_Kompert_-_Neue_Geschichten_aus_dem_Ghetto_(1860),1860
Raabe,Wilhelm,Abu Telfan,1868,,Wilhelm_Raabe_-_Abu_Telfan_(1868),1860
von Holtei,Karl,Der letzte Komödiant,1863,Dritter Teil,Karl_von_Holtei_-_Der_letzte_Komödiant_-_Dritter_Teil_(1863),1860
Auerbach,Berthold,Auf der Höhe Vierter Band,1865,,Berthold_Auerbach_-_Auf_der_Höhe_Vierter_Band_(1865),1860
Gerstäcker,Friedrich,In der Südsee,1860,,Friedrich_Gerstäcker_-_In_der_Südsee_(1860),1860
Gerstäcker,Friedrich,Unter dem Äquator,1861,,Friedrich_Gerstäcker_-_Unter_dem_Äquator_(1861),1860
Wildermuth,Ottilie,Der Peterli von Emmental,1862,,Ottilie_Wildermuth_-_Der_Peterli_von_Emmental_(1862),1860
Raabe,Wilhelm,Die Gänse von Bützow,1866,,Wilhelm_Raabe_-_Die_Gänse_von_Bützow_(1866),1860
Storm,Theodor,Auf der Universität,1863,,Theodor_Storm_-_Auf_der_Universität_(1863),1860
Gerstäcker,Friedrich,General Franco,1865,,Friedrich_Gerstäcker_-_General_Franco_(1865),1860
Wildermuth,Ottilie,Eine Königin,1862,,Ottilie_Wildermuth_-_Eine_Königin_(1862),1860
Raabe,Wilhelm,Der Hungerpastor,1864,,Wilhelm_Raabe_-_Der_Hungerpastor_(1864),1860
Marlitt,Eugenie,Die zwölf Apostel,1865,,Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),1860
Wildermuth,Ottilie,Frau Luna,1862,,Ottilie_Wildermuth_-_Frau_Luna_(1862),1860
Gerstäcker,Friedrich,Im Busch,1864,,Friedrich_Gerstäcker_-_Im_Busch_(1864),1860
Stern,Adolf,Vor Leyden,1866,,Adolf_Stern_-_Vor_Leyden_(1866),1860
Auerbach,Berthold,Das Landhaus am Rhein,1869,Band II,Berthold_Auerbach_-_Das_Landhaus_am_Rhein_-_Band_II_(1869),1860
Stifter,Adalbert,Der Kuss von Sentze,1866,,Adalbert_Stifter_-_Der_Kuss_von_Sentze_(1866),1860
